;
;
;
Input Initial (phrase naturelle);Input Reformulé (phrase reformatée) - pattern de questions standards;Output reformulé
Quel est le montant de ma xxx1 ? ;Quel est le montant de xxx1 ?;Le montant de votre xxx1 est de vvv1 euros
Combien coûte ma xxx1 ? ;Quel est le montant de xxx1 ?;Votre xxx1 coûte vvv1 euros
Quelle est la somme de xxx1 ? ;Quel est le montant de xxx1 ?;La somme de xxx1 est de vvv1 euros
A quel montant s'élève xxx1 ? ;Quel est le montant de xxx1 ?;xxx1 s'élève à un montant de vvv1 euros
Combien représente xxx1 par rapport à xxx2 ? ;Quel est le montant de xxx1 par rapport au montant de xxx2 ?;xxx1 représente un montant de vvv1 euros par rapport à xxx2 qui représente un montant de vvv2 euros
Est-ce que xxx1 constitue une grande partie de xxx2 ? ;Quel est le montant de xxx1 par rapport au montant de xxx2 ? + appréciation;Oui le montant de xxx1 de vvv1 euros constitue une grande partie du montant de xxx2 de vvv2 euros
Quelle part de xxx1 va à xxx2 ? ;Quel est le montant de xxx1 par rapport au montant de xxx2 ?;vvv1 % du montant de xxx1 va à xxx2
Quel est le poids de xxx1 dans mon entreprise par rapport à xxx2 ? ;Quel est le montant de xxx1 par rapport au montant de xxx2 ?;Le poids du montant de xxx1 de vvv1 euros dans votre entreprsie est important par rapport au montant de xxx2 de vvv2 euros
Peux-tu me dire le rapport entre xxx1 et xxx2 ? ;Quel est le montant de xxx1 par rapport au montant de xxx2 ? Peux-tu ?;Oui je peux vous le dire. Le montant de xxx1 est de vvv1 euros par rapport au montant de xxx2 qui est de vvv2 euros
Quel est le montant de mon xxx1 et de mon xxx2 ? ;Quel est le montant de xxx1 et le montant de xxx2 ?;Le montant de votre xxx1 est de vvv1 euros et le montant de votre xxx2 est de vvv2 euros
Combien coûte mon xxx1 et mon xxx2 ? ;Quel est le montant de xxx1 et le montant de xxx2 ?;Votre xxx1 coûte vvv1 euros et votre xxx2 coûte vvv2 euros
Quelle est la somme de xxx1 et xxx2 ? ;Quel est le montant de xxx1 et le montant de xxx2 ?;La somme de xxx1 et xxx2 est de vvv1 euros
A quel montant s'élève xxx1 et xxx2 ? ;Quel est le montant de xxx1 et le montant de xxx2 ?;Le montant de xxx1 et xxx2 s'élève à vvv1 euros
Quel est le montant de mon xxx1 sans compter xxx2 ? ;Quel est le montant de xxx1 hors xxx2 ?;Le montant de votre xxx1 sans compter xxx2 est de vvv1 euros
Quelle est la valeur de mes xxx1 sans les xxx2 ? ;Quel est le montant de xxx1 hors xxx2 ?;La valeur de vos xxx1 sans les xxx2 est de vvv1 euros
Peux-tu me dire mes xxx1 avant les xxx2 ? ;Quel est le montant de xxx1 hors xxx2 ? Peux-tu ?;Oui je peux vous le dire. Le montant de vos xxx1 avant les xxx2 est de vvv1 euros
Comment mesurer xxx1 sans inclure xxx2 ? ;Quel est le montant de xxx1 hors xxx2 ? + Méthode;Le montant de xxx1 sans inclure xxx2 est de vvv1 euros. Pour le mesurer il faut...
Comment déterminer xxx1 avant xxx2 ? ;Quel est le montant de xxx1 hors xxx2 ? + Méthode;Le montant de xxx1 avant xxx2 est de vvv1 euros. Pour le déterminer il faut...
J'aimerais savoir le total combiné de mon xxx1 et de xxx2. ;Quel est le montant de xxx1 plus le montant de xxx2 ?;Le total combiné de votre xxx1 et de votre xxx2 est de vvv1 euros
Peux-tu additionner mon xxx1 et mes xxx2 ? ;Quel est le montant de xxx1 plus le montant de xxx2 ? Peux-tu ?;Oui je peux l'additionner. Le montant de votre xxx1 plus celui de vos xxx2 est de vvv1 euros
Comment obtenir le total de xxx1 avec xxx2 ? ;Quel est le montant de xxx1 plus le montant de xxx2 ? + Méthode;Le total de xxx1 avec xxx2 est de vvv1 euros. Pour l'obtenir il faut...
Quelle est la somme de mon xxx1 et de ma xxx2 ? ;Quel est le montant de xxx1 plus le montant de xxx2 ?;La somme de votre xxx1 et de votre xxx2 est de vvv1 euros
Comment puis-je avoir la somme de mon xxx1 et de mon xxx2 ? ;Quel est le montant de xxx1 plus le montant de xxx2 ? + Méthode;La somme de votre xxx1 et de votre xxx2 est de vvv1 euros. Pour cela il faut...
Peux-tu comparer mon xxx1 de mmm1 avec celui de mmm2 ? ;Quel est le montant de xxx1 en mmm1 versus le montant de xxx1 en mmm2 ? Peux-tu ?;Oui je peux le comparer. Le montant de votre xxx1 en mmm1 est de vvv1 euros en comparaison avec votre xxx1 en mmm2 qui s'élève à un montant de vvv2 euros
