;
;
Input Initial (phrase naturelle);Input Reformulé (phrase reformatée) - pattern de questions standards
Quel est le montant de ma xxx1 ? ;Quel est le montant de xxx1 ?
Combien coûte ma xxx1 ? ;Quel est le montant de xxx1 ?
Quelle est la somme de xxx1 ? ;Quel est le montant de xxx1 ?
A quel montant s'élève xxx1 ? ;Quel est le montant de xxx1 ?
Combien représente xxx1 par rapport à xxx2 ? ;Quel est le montant de xxx1 par rapport au montant de xxx2 ?
Est-ce que xxx1 constitue une grande partie de xxx2 ? ;Quel est le montant de xxx1 par rapport au montant de xxx2 ? + appréciation
Quelle part de xxx1 va à xxx2 ? ;Quel est le montant de xxx1 par rapport au montant de xxx2 ?
Quel est le poids de xxx1 dans mon entreprise par rapport à xxx2 ? ;Quel est le montant de xxx1 par rapport au montant de xxx2 ?
Peux-tu me dire le rapport entre xxx1 et xxx2 ? ;Quel est le montant de xxx1 par rapport au montant de xxx2 ?
Quel est le montant de mon xxx1 et de mon xxx2 ? ;Quel est le montant de xxx1 et le montant de xxx2 ?
Combien coûte mon xxx1 et mon xxx2 ? ;Quel est le montant de xxx1 et le montant de xxx2 ?
Quelle est la somme de xxx1 et xxx2 ? ;Quel est le montant de xxx1 et le montant de xxx2 ?
A quel montant s'élève xxx1 et xxx2 ? ;Quel est le montant de xxx1 et le montant de xxx2 ?
Quel est le montant de mon xxx1 sans compter xxx2 ? ;Quel est le montant de xxx1 hors xxx2 ?
Quelle est la valeur de mes xxx1 sans les xxx2 ? ;Quel est le montant de xxx1 hors xxx2 ?
Peux-tu me dire mes xxx1 avant les xxx2 ? ;Quel est le montant de xxx1 hors xxx2 ? Peux-tu ?
Comment mesurer xxxx1 sans inclure xxx2 ? ;Quel est le montant de xxx1 hors xxx2 ? + Méthode
Comment déterminer xxx1 avant xxx2 ? ;Quel est le montant de xxx1 hors xxx2 ? + Méthode
J'aimerais savoir le total combiné de mon xxx1 et de xxx2. ;Quel est le montant de xxx1 plus le montant de xxx2 ?
Peux-tu additionner mon xxx1 et mes xxx2 ? ;Quel est le montant de xxx1 plus le montant de xxx2 ? Peux-tu ?
Comment obtenir le total de xxx1 avec xxx2 ? ;Quel est le montant de xxx1 plus le montant de xxx2 ? + Méthode
Quelle est la somme de mon xxx1 et de ma xxx2 ? ;Quel est le montant de xxx1 plus le montant de xxx2 ?
Comment puis-je avoir la somme de mon xxx1 et de mon xxx2 ? ;Quel est le montant de xxx1 plus le montant de xxx2 ? + Méthode
Peux-tu comparer mon xxx1 de mmm1 avec celui de mmm2 ? ;Quel est le montant de xxx1 en mmm1 versus le montant de xxx1 en mmm2 ? Peux-tu ?
Comment puis-je savoir le xxx1 de mmm1 comparé à celui de mmm2 ? ;Quel est le montant de xxx1 en mmm1 versus le montant de xxx1 en mmm2 ? + Méthode
Je veux connaître le xxx1 de mmm1 et le comparer à celui de mmm2. ;Quel est le montant de xxx1 en mmm1 versus le montant de xxx1 en mmm2 ?
Quelle est la comparaison de xxx1 entre mmm1 et mmm2 ? ;Quel est le montant de xxx1 en mmm1 versus le montant de xxx1 en mmm2 ?
